Nama,Harga,Kategori,Merk,Nominal
ECLE Wireless On Ear Headphone Headset Gaming Super Bass Stereo Hitam,< 1 juta,Audio,ECLE,Rp106.000
ECLE Bluetooth Wireless Speaker Mini Portable Super Bass Stereo,< 1 juta,Audio,ECLE,Rp132.900
Bigetron Official Jersey,< 1 juta,Fashion,Bigetron,Rp249.999
Converse Lifestyle Wrinkle Backpack,< 1 juta,Fashion,Converse, Rp299.000
"Jaket Jeans Original XXL - Hitam, XXL",< 1 juta,Fashion,Rafen, Rp300.000
Xiaomi Mi Band 5 Waterproof AMOLED Screen Heart Rate - China Versi,< 1 juta,Gadget,Xiaomi, Rp335.000
Stand speaker - Tripod speaker Krezt NB - 503 ( isi 2pcs full besi ),< 1 juta,Audio,Krezt, Rp440.000
Russell Hobbs Compact Home Slow Cooker,< 1 juta,Elektronik,Russel Hobbs, Rp559.000
Converse CHUCK 70 HI Unisex Sneakers Shoes - Black,< 1 juta,Fashion,Converse, Rp899.000
Sanken SN-118KEG Kulkas Mini Bar,1 - 5 juta,Elektronik,Sanken, Rp1.365.000
Speaker Portable Meeting wireless Krezt Was-110 FV (10inch),1 - 5 juta,Audio,Krezt, Rp2.200.000
Sanken Dispenser Bottom Loading HWD-C590G-BK Hitam,1 - 5 juta,Elektronik,Sanken, Rp2.629.000
Apple Airpods Pro Wireless Charging Original Garansi Resmi Apple,1 - 5 juta,Gadget,Apple, Rp 2.995.000
"realme Smart LED TV 32 inch [Android 9.0, Bazel-less, Dolby Audio, HD-Netflix]",1 - 5 juta,Elektronik,Realme, Rp3.299.000
Russell Hobbs 5L Brooklyn Air Fryer,1 - 5 juta,Elektronik,Russel Hobbs, Rp3.894.000
"Realme X3 SuperZoom 12-256GB [60X Periscope Zoom, Snapdragon 855, NFC]",5 - 10 juta,Gadget,Realme, Rp5.599.000
Iphone XR 64GB Garansi Resmi Ibox - TAM,5 - 10 juta,Gadget,Apple, Rp7.295.000
Microsoft Surface GO 2 128GB - 8GB - Intel Core M3 8th Gen8 - New 2020 - 64GB M3 10 Pro,5 - 10 juta,Gadget,Microsoft, Rp8.350.000
"ASUS ROG PHONE 3 - ROG PHONE III 512 GB - 256GB - 128GB Garansi 1 Tahn - 12 GB - 128 GB, Tencent Games",5 - 10 juta,Gadget,Asus, 8.932.000
Xiaomi Mi 11 (8GB+256GB) 108MP Cinematic Layar 6.81” WQHD+ AMOLED DotDisplay Snapdragon™ 888 4600mAh,5 - 10 juta,Elektronik,Xiaomi, Rp9.793.000
Apple iPhone 12 128GB - Red,> 10 Juta,Gadget,Apple, Rp14.499.000
Asus ROG Strix G713QC Ryzen 7 5800H 8GB 512GB RTX3050 4GB WIN10+OHS - BLACK,> 10 Juta,Gadget,Asus, Rp17.999.000
"Microsoft Surface Pro 7+ 7 Plus 2021 Intel i7 11 Gen 256GB 16GB 256 GB - WIFI Only, Unit Only",> 10 Juta,Gadget,Microsoft, Rp28.490.000
